w1,w2,condition,subtype,w1_type,w2_type
dark,blue,phrase,even,word,word
cold,tea,phrase,even,word,word
far,ahead,phrase,even,word,word
six,weeks,phrase,even,word,word
best,thing,phrase,even,word,word
bile,duct,phrase,even,word,word
seven,years,phrase,even,word,word
more,room,phrase,even,word,word
forty,days,phrase,even,word,word
new,users,phrase,even,word,word
long,walk,phrase,even,word,word
urban,areas,phrase,even,word,word
open,field,phrase,even,word,word
heavy,rain,phrase,even,word,word
older,men,phrase,even,word,word
could,cause,phrase,even,word,word
fresh,fruit,phrase,even,word,word
optic,nerve,phrase,even,word,word
green,beans,phrase,even,word,word
gas,phase,phrase,even,word,word
fatty,acids,phrase,even,word,word
trade,mark,phrase,even,word,word
glass,doors,phrase,even,word,word
basic,idea,phrase,even,word,word
smart,women,phrase,even,word,word
air,force,phrase,even,word,word
vital,signs,phrase,even,word,word
equal,parts,phrase,even,word,word
black,box,phrase,even,word,word
hind,legs,phrase,even,word,word
olive,oil,phrase,even,word,word
night,sky,phrase,even,word,word
five,hours,phrase,even,word,word
left,leg,phrase,even,word,word
comic,books,phrase,even,word,word
half,dozen,phrase,even,word,word
brown,sugar,phrase,even,word,word
fifty,miles,phrase,even,word,word
have,heard,phrase,even,word,word
civil,wars,phrase,even,word,word
under,cover,phrase,even,word,word
awful,lot,phrase,even,word,word
all,means,phrase,even,word,word
seat,belt,phrase,even,word,word
never,met,phrase,even,word,word
child,care,phrase,even,word,word
few,steps,phrase,even,word,word
loose,ends,phrase,even,word,word
whole,truth,phrase,even,word,word
woman,said,phrase,even,word,word
first,draft,phrase,even,word,word
data,sets,phrase,even,word,word
great,deal,phrase,even,word,word
large,sums,phrase,even,word,word
only,hope,phrase,even,word,word
get,help,phrase,even,word,word
lost,sight,phrase,even,word,word
off,guard,phrase,even,word,word
tax,rates,phrase,even,word,word
light,bulb,phrase,even,word,word
blue,deep,non-phrase,even,word,word
tea,iced,non-phrase,even,word,word
ahead,just,non-phrase,even,word,word
weeks,eight,non-phrase,even,word,word
thing,worst,non-phrase,even,word,word
duct,tear,non-phrase,even,word,word
years,ten,non-phrase,even,word,word
room,sunny,non-phrase,even,word,word
days,nine,non-phrase,even,word,word
users,drug,non-phrase,even,word,word
walk,short,non-phrase,even,word,word
areas,rural,non-phrase,even,word,word
field,corn,non-phrase,even,word,word
rain,quiet,non-phrase,even,word,word
men,silly,non-phrase,even,word,word
cause,may,non-phrase,even,word,word
stem,brain,non-phrase,even,word,word
where,point,non-phrase,even,word,word
eyes,red,non-phrase,even,word,word
games,video,non-phrase,even,word,word
jury,grand,non-phrase,even,word,word
kinds,three,non-phrase,even,word,word
times,four,non-phrase,even,word,word
smile,faint,non-phrase,even,word,word
law,local,non-phrase,even,word,word
waves,sound,non-phrase,even,word,word
limit,upper,non-phrase,even,word,word
ions,metal,non-phrase,even,word,word
words,many,non-phrase,even,word,word
porch,front,non-phrase,even,word,word
note,see,non-phrase,even,word,word
cells,blood,non-phrase,even,word,word
forms,life,non-phrase,even,word,word
feet,two,non-phrase,even,word,word
group,peer,non-phrase,even,word,word
kids,other,non-phrase,even,word,word
cases,most,non-phrase,even,word,word
boy,small,non-phrase,even,word,word
today,world,non-phrase,even,word,word
angle,right,non-phrase,even,word,word
pair,one,non-phrase,even,word,word
sail,set,non-phrase,even,word,word
waste,solid,non-phrase,even,word,word
lunch,after,non-phrase,even,word,word
ore,iron,non-phrase,even,word,word
son,own,non-phrase,even,word,word
girl,kind,non-phrase,even,word,word
guys,young,non-phrase,even,word,word
play,would,non-phrase,even,word,word
lives,daily,non-phrase,even,word,word
night,late,non-phrase,even,word,word
pain,back,non-phrase,even,word,word
arts,fine,non-phrase,even,word,word
shone,sun,non-phrase,even,word,word
needs,human,non-phrase,even,word,word
flow,water,non-phrase,even,word,word
risks,take,non-phrase,even,word,word
rule,final,non-phrase,even,word,word
ethic,work,non-phrase,even,word,word
terms,key,non-phrase,even,word,word
kvzk,car,non-word,even,cons,noun
mksj,gin,non-word,even,cons,noun
bkvj,fox,non-word,even,cons,noun
mvhk,fly,non-word,even,cons,noun
fkxj,pub,non-word,even,cons,noun
jkzm,bus,non-word,even,cons,noun
feel,qvx,non-word,even,noun,cons
math,hkj,non-word,even,noun,cons
copy,mkq,non-word,even,noun,cons
hint,tjp,non-word,even,noun,cons
ohio,fkv,non-word,even,noun,cons
hare,sjm,non-word,even,noun,cons
zjv,wave,non-word,even,cons,noun
jvw,nest,non-word,even,cons,noun
qks,plan,non-word,even,cons,noun
sjk,step,non-word,even,cons,noun
fkz,rank,non-word,even,cons,noun
tjz,navy,non-word,even,cons,noun
nut,pvkk,non-word,even,noun,cons
sea,jvbk,non-word,even,noun,cons
rap,zjmv,non-word,even,noun,cons
bed,zmqk,non-word,even,noun,cons
lay,mktj,non-word,even,noun,cons
cup,jkwj,non-word,even,noun,cons
zjqv,pick,non-word,even,cons,noun
tjkk,type,non-word,even,cons,noun
kkqv,heat,non-word,even,cons,noun
hkmv,song,non-word,even,cons,noun
kkvj,gaze,non-word,even,cons,noun
kvjk,tape,non-word,even,cons,noun
fkmv,west,non-word,even,cons,noun
xkqv,laws,non-word,even,cons,noun
zmjv,ping,non-word,even,cons,noun
jvgk,feed,non-word,even,cons,noun
tkwj,news,non-word,even,cons,noun
wjgk,milk,non-word,even,cons,noun
qvtj,turf,non-word,even,cons,noun
hkzj,maps,non-word,even,cons,noun
mvxj,wood,non-word,even,cons,noun
pvtk,ship,non-word,even,cons,noun
mkxj,mine,non-word,even,cons,noun
gkjv,mall,non-word,even,cons,noun
menu,hkwj,non-word,even,noun,cons
hand,xjqk,non-word,even,noun,cons
aura,qkzm,non-word,even,noun,cons
gene,bksj,non-word,even,noun,cons
eggs,xkvj,non-word,even,noun,cons
horn,mvzm,non-word,even,noun,cons
seal,zkxj,non-word,even,noun,cons
soil,jksj,non-word,even,noun,cons
owls,vkzj,non-word,even,noun,cons
gold,kkwj,non-word,even,noun,cons
load,wjqk,non-word,even,noun,cons
film,xkwj,non-word,even,noun,cons
dose,qvzk,non-word,even,noun,cons
swan,pvsj,non-word,even,noun,cons
sons,xkzj,non-word,even,noun,cons
muse,xjbk,non-word,even,noun,cons
bill,xjgk,non-word,even,noun,cons
mass,gkpv,non-word,even,noun,cons
